City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,East London,ZA,69.8,broken clouds,-33.02,27.91,Tu Casa
1,Roald,NO,44.6,few clouds,62.58,6.13,Flem Cabins
5,Jamestown,US,39.0,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
6,Copiapo,CL,69.8,clear sky,-27.37,-70.33,Antay Casino Hotel
9,Ribeira Grande,PT,57.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
14,Yarmouth,US,55.4,few clouds,41.71,-70.23,The Inn At Cape Cod
16,Ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
17,Codrington,AU,55.0,light rain,-38.27,141.97,Codrington Gardens Bed And Breakfast
18,Hermanus,ZA,66.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
19,Vardo,NO,33.91,overcast clouds,70.37,31.11,Vardø Hotel AS
21,Gonbad-E Qabus,IR,44.6,broken clouds,37.25,55.17,Samin Building
22,Port Alfred,ZA,67.77,light rain,-33.59,26.89,The Halyards Hotel
25,Leh,IN,18.21,overcast clouds,34.17,77.58,Hotel Ladakh Greens
26,Cape Town,ZA,66.99,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
28,Rawson,AR,61.95,scattered clouds,-43.3,-65.1,Hotel Punta León
29,Ponta Do Sol,PT,62.6,scattered clouds,32.67,-17.1,Hotel do Campo
30,Jalu,LY,63.39,few clouds,29.03,21.55,صاحبة الفخامة
31,Longyearbyen,SJ,24.8,light snow,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
33,Saint George,US,33.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
34,Killybegs,IE,46.4,scattered clouds,54.63,-8.45,Tara Hotel
36,Hamilton,US,46.99,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
37,Vestmanna,FO,41.0,light rain,62.16,-7.17,Budget Guesthouse Borgustova
38,Kovdor,RU,19.8,broken clouds,67.57,30.48,Ochag
40,Vila Franca Do Campo,PT,57.2,scattered clouds,37.72,-25.43,Pestana Bahia Praia
42,Foumban,CM,73.27,clear sky,5.73,10.9,Hotel Pekassa De Karche
44,Niceville,US,72.0,scattered clouds,30.52,-86.48,Hampton Inn Niceville-Eglin Air Force Base
49,Usinsk,RU,9.99,overcast clouds,65.99,57.53,Dobro Pozhalovaty
50,Punta Arenas,CL,44.6,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
53,Kruisfontein,ZA,63.0,light rain,-34.0,24.73,Oyster Bay House Rental
54,Pisco,PE,69.8,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
56,Victoria,HK,68.0,clear sky,22.29,114.16,Mini Hotel Central
57,Nanortalik,GL,34.54,light snow,60.14,-45.24,"NTS Rooms, Nanortalik"
58,Bardiyah,LY,61.92,clear sky,31.76,25.09,بورتو بردية
59,Pudozh,RU,17.53,broken clouds,61.81,36.53,Guest-House na Transportnoy
60,Tasiilaq,GL,15.8,few clouds,65.61,-37.64,The Red House
62,Pangnirtung,CA,21.2,overcast clouds,66.15,-65.71,Kilabuk Lodge
64,Bredasdorp,ZA,66.2,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
65,Riyadh,SA,66.2,haze,24.69,46.72,InterContinental Riyadh
66,Plouzane,FR,55.4,clear sky,48.38,-4.62,Résidence Nemea Iroise Armorique
68,Bure,ET,61.97,broken clouds,10.7,37.07,Holiday
69,Saint-Francois,FR,45.0,clear sky,46.42,3.91,Manoir Du Bonheur
72,Abu Kamal,SY,61.57,broken clouds,34.45,40.92,محطة التلفاز
73,Khandbari,NP,57.96,clear sky,27.37,87.2,Himali Hotel and Lodge
75,Havoysund,NO,41.0,light rain,71.0,24.66,Arctic View Glamping & Restaurant
76,Moron,AR,71.6,moderate rain,-34.65,-58.62,Hotel Morón
78,Dovolnoye,RU,9.37,overcast clouds,54.5,79.67,Gostinitsa
79,Rabo De Peixe,PT,57.2,scattered clouds,37.8,-25.58,Quinta das Giestas
80,Busselton,AU,48.0,broken clouds,-33.65,115.33,Observatory Guest House
81,Suez,EG,64.85,clear sky,29.97,32.53,Green House
82,Adrano,IT,60.01,light rain,37.66,14.83,B&B Patty's House
83,Keene,US,48.99,broken clouds,42.93,-72.28,Days Inn by Wyndham Keene NH
85,Qaqortoq,GL,33.8,broken clouds,60.72,-46.03,Hotel Qaqortoq
87,Nebug,RU,50.23,clear sky,44.17,39.0,Morskoy Klub
88,Muros,ES,57.99,moderate rain,42.78,-9.06,Apartment Av. Castelao
90,Bengkulu,ID,72.43,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
91,Irondequoit,US,44.01,broken clouds,43.21,-77.58,Hampton Inn Rochester-Irondequoit
92,Givors,FR,42.8,clear sky,45.58,4.77,Hôtel Kyriad Lyon Givors
96,Bezhetsk,RU,27.48,overcast clouds,57.79,36.7,Gostinitsa Start
100,Saldanha,ZA,66.2,clear sky,-33.01,17.94,Blue Bay Lodge
102,Mtsensk,RU,33.75,light rain,53.28,36.57,Калинина 14
103,Narsaq,GL,33.8,broken clouds,60.92,-46.05,Hotel Narsaq
104,Camacha,PT,62.6,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
105,Lebu,CL,60.26,overcast clouds,-37.62,-73.65,Hostal Las Lilas
107,Inverness,GB,36.0,fog,57.48,-4.22,Glen Mhor Hotel & Apartments
109,Mogwase,ZA,71.02,scattered clouds,-25.18,27.27,De Skaap Accommodation & Event Venue
110,Bay Roberts,CA,59.0,broken clouds,47.6,-53.26,Stonewall Inn
111,Iqaluit,CA,17.6,light snow,63.75,-68.51,Frobisher Inn
114,Klaksvik,FO,41.0,light rain,62.23,-6.59,Airbnb rooms
116,Kulu,TR,38.7,clear sky,39.1,33.08,Kapadokya Motel
118,Rapla,EE,34.0,overcast clouds,59.01,24.79,Kalevi Turismitalu
119,Merrill,US,39.99,clear sky,45.18,-89.68,Prairie Motel
122,Jumla,NP,42.8,clear sky,29.27,82.18,Hotel Sundar Rara Karnali
124,Rosetta,EG,64.4,scattered clouds,31.4,30.42,Green Valley
127,Scarborough,GB,46.99,light rain,54.28,-0.4,Ambassador
129,Surt,LY,68.2,clear sky,31.21,16.59,City Hotel
131,Baturyn,UA,36.68,light rain,51.35,32.88,Vitryla Myklukho-Maklaya
132,Kielce,PL,35.01,overcast clouds,50.87,20.63,Qubus Hotel Kielce
135,Beyneu,KZ,30.88,clear sky,45.32,55.2,NUR
138,Matagami,CA,30.2,light snow,49.75,-77.63,Hôtel Matagami
142,Ampanihy,MG,73.24,clear sky,-24.7,44.75,Angora Hotel
143,Ancud,CL,59.0,few clouds,-41.87,-73.82,Hotel Arena Gruesa
146,Pishin,PK,52.11,scattered clouds,30.58,67.0,Iqra Printing Press
147,Marsa Matruh,EG,66.2,scattered clouds,31.35,27.25,Beau Site
