City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,East London,-33.02,27.91,69.8,88,75,14.99,ZA,2020-11-28 17:23:20,broken clouds
1,Roald,62.58,6.13,44.6,65,20,10.29,NO,2020-11-28 17:23:20,few clouds
2,Clyde River,70.47,-68.59,-4.0,83,75,16.11,CA,2020-11-28 17:23:20,light snow
3,San Juan,-31.54,-68.54,89.69,30,1,15.08,AR,2020-11-28 17:23:20,clear sky
4,Quatre Cocos,-20.21,57.76,77.0,78,75,11.41,MU,2020-11-28 17:23:20,broken clouds
5,Jamestown,42.1,-79.24,39.0,69,75,13.87,US,2020-11-28 17:23:20,broken clouds
6,Copiapo,-27.37,-70.33,69.8,52,0,8.05,CL,2020-11-28 17:23:14,clear sky
7,Porto Novo,6.5,2.6,84.2,79,40,12.75,BJ,2020-11-28 17:23:21,scattered clouds
8,Izhma,65.01,53.91,15.01,94,94,4.97,RU,2020-11-28 17:23:21,overcast clouds
9,Ribeira Grande,38.52,-28.7,57.2,67,40,6.93,PT,2020-11-28 17:23:21,scattered clouds
10,Yenagoa,4.92,6.26,79.56,86,62,4.0,NG,2020-11-28 17:23:21,light rain
11,Vila Velha,-20.33,-40.29,82.99,69,40,13.87,BR,2020-11-28 17:23:21,scattered clouds
12,Saint-Philippe,-21.36,55.77,77.0,69,90,5.82,RE,2020-11-28 17:23:21,overcast clouds
13,Hithadhoo,-0.6,73.08,81.91,75,81,8.61,MV,2020-11-28 17:23:21,broken clouds
14,Yarmouth,41.71,-70.23,55.4,54,20,5.82,US,2020-11-28 17:23:21,few clouds
15,Mindelo,16.89,-24.98,78.8,54,75,18.34,CV,2020-11-28 17:23:21,broken clouds
16,Ushuaia,-54.8,-68.3,42.8,75,40,14.99,AR,2020-11-28 17:20:38,scattered clouds
17,Codrington,-38.27,141.97,55.0,91,100,18.21,AU,2020-11-28 17:23:22,light rain
18,Hermanus,-34.42,19.23,66.0,67,10,3.0,ZA,2020-11-28 17:23:22,clear sky
19,Vardo,70.37,31.11,33.91,89,100,26.75,NO,2020-11-28 17:23:22,overcast clouds
20,Mar Del Plata,-38.0,-57.56,84.2,54,90,12.75,AR,2020-11-28 17:19:24,light rain
21,Gonbad-E Qabus,37.25,55.17,44.6,87,75,5.41,IR,2020-11-28 17:23:23,broken clouds
22,Port Alfred,-33.59,26.89,67.77,78,73,12.17,ZA,2020-11-28 17:19:05,light rain
23,Aasiaat,68.71,-52.87,3.27,88,53,14.27,GL,2020-11-28 17:23:23,broken clouds
24,Santa Marta,11.24,-74.2,87.01,74,9,2.21,CO,2020-11-28 17:20:43,light rain
25,Leh,34.17,77.58,18.21,66,99,1.57,IN,2020-11-28 17:23:23,overcast clouds
26,Cape Town,-33.93,18.42,66.99,68,20,25.28,ZA,2020-11-28 17:22:31,few clouds
27,Waw,7.7,28.0,83.59,23,30,3.11,SS,2020-11-28 17:23:24,scattered clouds
28,Rawson,-43.3,-65.1,61.95,43,41,14.9,AR,2020-11-28 17:23:24,scattered clouds
29,Ponta Do Sol,32.67,-17.1,62.6,51,40,19.46,PT,2020-11-28 17:23:24,scattered clouds
30,Jalu,29.03,21.55,63.39,46,20,10.65,LY,2020-11-28 17:23:24,few clouds
31,Longyearbyen,78.22,15.64,24.8,73,90,29.97,SJ,2020-11-28 17:22:02,light snow
32,Touros,-5.2,-35.46,86.0,58,40,16.11,BR,2020-11-28 17:23:25,scattered clouds
33,Saint George,37.1,-113.58,33.8,40,1,1.3,US,2020-11-28 17:19:14,clear sky
34,Killybegs,54.63,-8.45,46.4,81,40,3.36,IE,2020-11-28 17:23:25,scattered clouds
35,Sinnamary,5.38,-52.95,84.52,72,11,9.44,GF,2020-11-28 17:23:25,light rain
