City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2020-11-25 00:18:22,-20.41,57.7,75.2,88,75,11.41
1,Imbituba,BR,2020-11-25 00:14:11,-28.24,-48.67,73.4,78,40,16.11
2,Ushuaia,AR,2020-11-25 00:18:22,-54.8,-68.3,44.6,70,75,6.93
3,East London,ZA,2020-11-25 00:18:22,-33.02,27.91,64.38,70,78,14.99
4,Upernavik,GL,2020-11-25 00:18:22,72.79,-56.15,6.94,75,2,9.13
5,Port Alfred,ZA,2020-11-25 00:18:22,-33.59,26.89,62.76,69,95,18.66
6,Tasiilaq,GL,2020-11-25 00:18:22,65.61,-37.64,21.2,79,96,10.29
7,Dikson,RU,2020-11-25 00:18:22,73.51,80.55,10.56,96,100,21.25
8,Faya,SA,2020-11-25 00:18:23,18.39,42.45,59.0,87,0,2.68
9,Arraial Do Cabo,BR,2020-11-25 00:18:23,-22.97,-42.03,75.2,78,75,10.29
10,Fort-Shevchenko,KZ,2020-11-25 00:18:23,44.51,50.26,37.09,84,96,13.98
11,Krasnoarmeysk,RU,2020-11-25 00:18:23,51.02,45.7,32.0,98,97,6.71
12,Razole,IN,2020-11-25 00:18:23,16.48,81.83,75.25,64,100,8.68
13,Kharan,PK,2020-11-25 00:18:23,28.58,65.42,48.78,80,32,5.41
14,Hermanus,ZA,2020-11-25 00:18:23,-34.42,19.23,57.0,66,72,4.0
15,Mar Del Plata,AR,2020-11-25 00:15:00,-38.0,-57.56,66.99,88,0,5.21
16,Luderitz,NA,2020-11-25 00:18:23,-26.65,15.16,60.8,72,0,10.29
17,Bambous Virieux,MU,2020-11-25 00:18:23,-20.34,57.76,75.2,88,75,11.41
18,Mugan,CN,2020-11-25 00:18:23,35.94,101.38,25.77,86,35,1.61
19,Sangueya,GN,2020-11-25 00:18:23,10.7,-14.37,76.19,89,8,1.39
20,Chimore,BO,2020-11-25 00:18:24,-16.98,-65.13,88.54,41,51,2.48
21,Sur,OM,2020-11-25 00:18:24,22.57,59.53,74.93,66,1,14.94
22,Bathsheba,BB,2020-11-25 00:18:24,13.22,-59.52,78.8,83,40,10.29
23,Busselton,AU,2020-11-25 00:18:24,-33.65,115.33,62.01,61,1,3.0
24,Qaanaaq,GL,2020-11-25 00:18:24,77.48,-69.36,8.24,89,100,1.43
25,Olavarria,AR,2020-11-25 00:18:24,-36.89,-60.32,66.22,95,80,8.77
26,Ribeira Grande,PT,2020-11-25 00:18:24,38.52,-28.7,57.52,60,28,16.78
27,Mana,GF,2020-11-25 00:18:24,5.66,-53.78,78.28,87,15,9.8
28,Port Elizabeth,ZA,2020-11-25 00:18:24,-33.92,25.57,59.0,77,0,11.41
29,Talcahuano,CL,2020-11-25 00:18:24,-36.72,-73.12,62.6,77,40,8.05
30,Araouane,ML,2020-11-25 00:18:25,18.9,-3.53,63.18,28,41,11.86
31,Cape Town,ZA,2020-11-25 00:14:20,-33.93,18.42,59.0,58,75,4.7
32,Coihaique,CL,2020-11-25 00:18:25,-45.58,-72.07,50.0,66,75,3.36
33,Talnakh,RU,2020-11-25 00:18:25,69.49,88.4,15.8,85,75,13.42
34,Tarko-Sale,RU,2020-11-25 00:18:25,64.92,77.78,10.99,87,97,12.46
35,Kant,IN,2020-11-25 00:18:25,27.8,79.8,59.99,35,62,4.79
36,Honningsvag,NO,2020-11-25 00:18:25,70.98,25.97,35.24,82,100,22.32
37,Jamestown,US,2020-11-25 00:16:33,42.1,-79.24,37.99,69,90,4.7
38,Mocuba,MZ,2020-11-25 00:18:25,-16.84,36.99,80.29,64,21,4.52
39,Rocha,UY,2020-11-25 00:18:25,-34.48,-54.33,78.87,68,13,13.4
40,Chuy,UY,2020-11-25 00:18:25,-33.7,-53.46,73.0,75,4,11.9
41,Iquique,CL,2020-11-25 00:18:25,-20.22,-70.14,64.4,72,75,12.75
42,Bredasdorp,ZA,2020-11-25 00:18:26,-34.53,20.04,53.6,66,53,8.05
43,Kuchl,AT,2020-11-25 00:18:26,47.63,13.14,35.01,100,75,3.36
44,Oriximina,BR,2020-11-25 00:18:26,-1.77,-55.87,79.3,79,48,4.45
45,Saint-Philippe,RE,2020-11-25 00:18:26,-21.36,55.77,73.4,60,87,4.7
46,Novoanninskiy,RU,2020-11-25 00:18:26,50.53,42.67,35.01,90,100,1.99
47,Codrington,AU,2020-11-25 00:18:26,-38.27,141.97,71.28,57,0,11.12
48,Serenje,ZM,2020-11-25 00:18:26,-13.23,30.24,67.32,39,90,4.29
49,Punta Arenas,CL,2020-11-25 00:16:32,-53.15,-70.92,48.2,66,75,16.11
50,Grand-Santi,GF,2020-11-25 00:18:26,4.25,-54.38,74.17,96,19,3.33
51,Barra,BR,2020-11-25 00:18:26,-11.09,-43.14,77.92,63,15,7.81
52,Vinderup,DK,2020-11-25 00:18:26,56.48,8.79,50.0,87,100,11.41
53,Abay,KZ,2020-11-25 00:18:27,49.63,72.85,-11.2,76,0,8.95
54,Constitucion,CL,2020-11-25 00:18:27,-35.33,-72.42,56.16,83,0,9.28
55,Krasnoselkup,RU,2020-11-25 00:18:27,65.7,82.47,12.2,96,99,10.65
56,Starokucherganovka,RU,2020-11-25 00:18:27,46.32,47.96,35.6,95,0,6.71
57,Micheweni,TZ,2020-11-25 00:18:27,-4.97,39.83,79.05,84,17,4.7
58,Mayumba,GA,2020-11-25 00:18:27,-3.43,10.66,77.79,90,85,4.05
59,Getulio Vargas,UY,2020-11-25 00:18:27,-32.68,-53.55,75.61,67,5,11.34
60,Husavik,IS,2020-11-25 00:18:27,66.04,-17.34,26.6,92,90,12.53
61,Lebu,CL,2020-11-25 00:18:27,-37.62,-73.65,55.11,90,9,3.69
62,Hithadhoo,MV,2020-11-25 00:18:27,-0.6,73.08,81.59,79,0,12.03
63,Lyngseidet,NO,2020-11-25 00:18:27,69.58,20.22,33.8,59,75,23.04
64,Banbury,GB,2020-11-25 00:15:43,52.06,-1.34,48.99,90,92,4.0
65,Szprotawa,PL,2020-11-25 00:18:28,51.57,15.54,34.0,88,7,3.0
66,Falavarjan,IR,2020-11-25 00:18:28,32.56,51.51,28.4,92,0,6.93
67,Victoria,HK,2020-11-25 00:16:50,22.29,114.16,73.0,80,45,17.34
68,Ilulissat,GL,2020-11-25 00:18:28,69.22,-51.1,21.2,53,93,28.86
69,Santa Rosa,PH,2020-11-25 00:18:28,14.31,121.11,84.0,69,40,3.36
70,Giyani,ZA,2020-11-25 00:18:28,-23.3,30.72,83.21,38,10,2.95
71,Vestmannaeyjar,IS,2020-11-25 00:18:28,63.44,-20.27,37.18,77,84,8.97
72,Elmadag,TR,2020-11-25 00:18:28,39.92,33.23,37.99,80,0,6.82
73,Lagoa,PT,2020-11-25 00:18:28,39.05,-27.98,56.68,60,42,16.49
74,Keuruu,FI,2020-11-25 00:18:28,62.27,24.7,28.99,92,90,2.24
75,Sao Filipe,CV,2020-11-25 00:18:28,14.9,-24.5,79.5,71,100,4.7
76,Muhos,FI,2020-11-25 00:18:29,64.81,25.99,25.0,100,90,1.12
77,Olafsvik,IS,2020-11-25 00:18:29,64.89,-23.71,34.54,85,67,13.42
78,Grindavik,IS,2020-11-25 00:18:29,63.84,-22.43,33.8,80,40,13.87
79,Belyy Yar,RU,2020-11-25 00:18:29,53.6,91.39,21.2,79,90,4.47
80,Itarema,BR,2020-11-25 00:18:29,-2.92,-39.92,80.35,79,92,15.75
81,Ouro Preto Do Oeste,BR,2020-11-25 00:18:29,-10.75,-62.22,81.27,66,69,3.44
82,Souillac,MU,2020-11-25 00:18:29,-20.52,57.52,75.2,88,75,11.41
83,Ashta,IN,2020-11-25 00:18:29,23.02,76.72,60.91,45,0,5.21
84,Tazovskiy,RU,2020-11-25 00:18:29,67.47,78.7,7.99,95,100,9.44
85,Umba,RU,2020-11-25 00:18:29,66.69,34.34,29.25,96,61,8.63
86,Mahibadhoo,MV,2020-11-25 00:18:30,3.78,72.97,82.58,64,84,5.21
87,Les Cayes,HT,2020-11-25 00:18:30,18.2,-73.75,76.69,77,85,7.29
88,Forst,DE,2020-11-25 00:18:30,51.73,14.63,34.0,88,0,3.0
89,Tessalit,ML,2020-11-25 00:18:30,20.2,1.01,58.12,33,55,7.94
90,Pimentel,PE,2020-11-25 00:18:30,-6.84,-79.93,66.2,72,0,19.46
91,Torbay,CA,2020-11-25 00:18:30,47.67,-52.73,37.99,80,90,31.09
92,Namibe,AO,2020-11-25 00:18:30,-15.2,12.15,70.25,75,59,4.76
93,Georgetown,MY,2020-11-25 00:18:30,5.41,100.34,73.4,94,20,5.35
94,Lagunas,PE,2020-11-25 00:18:30,-5.23,-75.68,82.15,67,74,3.11
95,Richards Bay,ZA,2020-11-25 00:18:30,-28.78,32.04,70.7,88,100,11.45
96,Malatya,TR,2020-11-25 00:18:31,38.5,38.0,28.4,92,0,1.19
97,Narasannapeta,IN,2020-11-25 00:18:31,18.42,84.05,69.42,58,100,8.9
98,Nouadhibou,MR,2020-11-25 00:18:31,20.93,-17.03,73.4,43,0,10.29
99,Clyde River,CA,2020-11-25 00:18:31,70.47,-68.59,8.6,92,90,35.57
100,Boa Vista,BR,2020-11-25 00:16:10,2.82,-60.67,80.6,78,75,5.82
101,Hukuntsi,BW,2020-11-25 00:18:31,-24.0,21.75,69.3,26,13,10.09
102,Agadez,NE,2020-11-25 00:18:31,19.75,10.25,61.32,36,0,13.67
103,Vilhena,BR,2020-11-25 00:18:31,-12.74,-60.15,82.4,74,20,9.17
